GOAL_ID,GROUP_NAME,TICKET_NO,STATUS_FLAG,AMOUNT,TXN_STATUS,INSTALLMENT,TRXNS_TYPE,PAYMENT_MODE,RECEIVED_DATE,FTR_NUMBER,BANK_REF_NUMBER,TRXNS_DATE_TIME,TRXNS_DATE,TRXNS_BY,PAYMENT_GATEWAY,RECON_FLAG,COMMENTS
51116,IBG005Db,55,member,169.51,SUCCESS,24,EMI,UPI,2022-10-31,51116T1667289549227,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
2111494,MSRP016W,26,member,1000,SUCCESS,2,EMI,UPI,2022-11-01,2111494T1667289533038,,2022-11-01,2022-11-01,,SIPLY,no,
19170,HYB002W,10,member,1192,SUCCESS,19,EMI,UPI,2022-10-31,19170T1667289477823,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
19170,HYB002W,10,member,33,SUCCESS,19,Interest on delayed EMI,UPI,2022-10-31,19170T1667289477823,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
19170,HYB002W,10,member,118,SUCCESS,19,Late payment fee,UPI,2022-10-31,19170T1667289477823,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
19170,HYB002W,10,member,4000,SUCCESS,18,EMI,UPI,2022-10-31,19170T1667289477823,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
19170,HYB002W,10,member,107,SUCCESS,18,Interest on delayed EMI,UPI,2022-10-31,19170T1667289477823,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
19170,HYB002W,10,member,118,SUCCESS,18,Late payment fee,UPI,2022-10-31,19170T1667289477823,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
19170,HYB002W,10,member,4000,SUCCESS,17,EMI,UPI,2022-10-31,19170T1667289477823,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
19170,HYB002W,10,member,181,SUCCESS,17,Interest on delayed EMI,UPI,2022-10-31,19170T1667289477823,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
